id,nome,turno,periodo,nota1,nota2,nota3
aluno_52,Igor Silva,Tarde,1,6.9,4.0,7.9
aluno_53,Olivia Souza,Tarde,5,3.1,0.1,1.5
aluno_54,Igor Almeida,Manhã,5,7.4,1.3,3.4
aluno_55,Samuel Lima,Tarde,2,3.6,2.3,1.5
aluno_56,Lucas Nascimento,Noite,1,3.6,3.8,8.9
aluno_57,Tatiane Oliveira,Manhã,5,5.0,2.1,0.5
aluno_58,Juliana Nascimento,Noite,2,5.2,3.4,2.1
aluno_59,Helena Lima,Noite,5,0.9,4.7,2.7
aluno_60,Yasmin Nascimento,Manhã,3,8.3,10.0,8.5
aluno_61,Eduardo Nascimento,Tarde,2,5.7,7.8,2.3
aluno_62,Gabriel Costa,Manhã,1,7.1,1.8,8.1
aluno_63,Mariana Oliveira,Tarde,3,5.8,5.2,7.6
aluno_64,Ana Silva,Manhã,2,8.9,3.5,9.9
aluno_65,Lucas Lima,Noite,2,9.9,9.8,9.8
aluno_66,Samuel Almeida,Noite,3,8.2,9.0,0.3
aluno_67,Renata Silva,Noite,5,8.6,0.2,0.6
aluno_68,Gabriel Almeida,Tarde,2,8.8,1.2,2.1
aluno_69,Yasmin Souza,Noite,2,7.5,10.0,8.9
aluno_70,Mariana Silva,Tarde,2,6.3,1.3,6.4
aluno_71,Yasmin Oliveira,Manhã,1,1.2,3.7,2.8
aluno_72,Nicolas Almeida,Manhã,5,7.2,4.0,9.1
aluno_73,Bruno Silva,Manhã,2,0.2,2.6,3.9
aluno_74,Yasmin Lima,Noite,2,9.6,8.6,2.2
aluno_75,Yasmin Almeida,Tarde,5,0.1,3.6,9.3
aluno_76,Nicolas Santos,Manhã,3,3.3,3.6,5.3
aluno_77,Carlos Rodrigues,Tarde,2,3.4,4.8,0.6
aluno_78,Igor Pereira,Tarde,3,8.3,7.6,1.9
aluno_79,Mariana Almeida,Manhã,3,1.8,2.5,2.9
aluno_80,Mariana Souza,Tarde,1,1.0,6.0,4.6
aluno_81,Tatiane Lima,Manhã,5,0.1,9.1,1.8
aluno_82,Daniela Oliveira,Manhã,5,7.4,2.8,5.8
aluno_83,Samuel Santos,Manhã,5,3.9,3.8,0.3
aluno_84,Olivia Lima,Tarde,2,1.1,2.2,3.4
aluno_85,Nicolas Rodrigues,Manhã,4,7.8,1.3,8.3
aluno_86,Ana Almeida,Noite,4,8.7,9.9,3.7
aluno_87,Nicolas Silva,Noite,1,4.5,6.5,2.7
aluno_88,Gabriel Nascimento,Tarde,2,3.2,0.2,0.8
aluno_89,Nicolas Lima,Noite,3,9.1,0.4,5.9
aluno_90,Juliana Costa,Tarde,5,9.1,0.3,2.4
aluno_91,Igor Rodrigues,Noite,2,5.1,2.5,9.5
aluno_92,Daniela Rodrigues,Tarde,2,1.9,7.1,4.0
aluno_93,Carlos Rodrigues,Tarde,5,3.0,3.6,3.8
aluno_94,Fernanda Lima,Noite,1,3.1,9.0,1.4
aluno_95,Helena Souza,Manhã,4,8.5,4.7,5.1
aluno_96,Bruno Almeida,Manhã,5,7.5,8.4,7.1
aluno_97,Mariana Rodrigues,Tarde,1,7.7,9.7,4.7
aluno_98,Nicolas Rodrigues,Noite,5,2.4,8.3,5.2
aluno_99,Lucas Oliveira,Manhã,4,4.6,8.1,9.7
aluno_100,Vinicius Pereira,Tarde,1,6.1,1.7,5.0
aluno_101,Bruno Lima,Manhã,5,9.5,0.0,4.2
aluno_102,Renata Pereira,Tarde,5,2.8,0.7,10.0
aluno_103,Fernanda Costa,Noite,5,7.5,0.6,1.4
aluno_104,Vinicius Costa,Manhã,1,7.6,6.6,2.5
aluno_105,Samuel Almeida,Manhã,4,4.4,9.9,7.7
aluno_106,Gabriel Silva,Manhã,4,2.4,9.8,9.6
aluno_107,Ana Rodrigues,Noite,2,7.5,1.4,0.8
aluno_108,Bruno Silva,Tarde,5,5.9,6.2,4.2
aluno_109,Paulo Santos,Tarde,4,4.0,6.5,5.6
aluno_110,Vinicius Santos,Tarde,4,4.4,5.9,2.6
aluno_111,Fernanda Almeida,Manhã,2,7.2,8.9,4.3
aluno_112,Ana Silva,Tarde,4,8.2,1.5,6.6
aluno_113,Mariana Almeida,Tarde,5,3.0,3.9,6.5
aluno_114,Carlos Lima,Tarde,2,0.0,9.2,9.8
aluno_115,Helena Lima,Noite,4,6.5,7.6,8.4
aluno_116,Renata Pereira,Manhã,1,3.9,7.8,9.8
aluno_117,Gabriel Santos,Manhã,3,0.4,1.4,8.5
aluno_118,Olivia Lima,Tarde,2,2.7,8.1,8.8
aluno_119,Mariana Lima,Noite,4,6.9,8.8,0.8
aluno_120,Bruno Rodrigues,Tarde,3,1.8,6.0,2.3
aluno_121,Olivia Oliveira,Manhã,5,6.7,8.0,6.3
aluno_122,Mariana Nascimento,Tarde,1,0.9,8.2,8.0
aluno_123,Daniela Oliveira,Manhã,3,3.0,2.0,8.6
aluno_124,Mariana Santos,Manhã,3,4.5,6.5,1.3
aluno_125,Olivia Pereira,Manhã,3,8.0,5.0,3.9
aluno_126,Daniela Lima,Noite,1,6.3,6.5,3.6
aluno_127,Mariana Oliveira,Tarde,2,5.5,0.7,5.0
aluno_128,Eduardo Santos,Manhã,1,2.9,0.6,4.5
aluno_129,Paulo Lima,Noite,1,5.8,9.7,7.9
aluno_130,Gabriel Oliveira,Manhã,3,0.6,5.2,5.0
aluno_131,Lucas Rodrigues,Manhã,3,8.3,9.8,8.2
aluno_132,Daniela Santos,Tarde,1,5.6,1.6,9.9
aluno_133,Paulo Rodrigues,Manhã,5,7.5,10.0,0.6
aluno_134,Renata Oliveira,Noite,2,5.4,4.8,3.7
aluno_135,Fernanda Silva,Tarde,1,9.4,6.9,9.5
aluno_136,Carlos Costa,Manhã,3,3.7,8.0,8.5
aluno_137,Olivia Costa,Manhã,2,4.3,5.6,4.1
aluno_138,Lucas Costa,Tarde,4,7.9,1.8,3.9
aluno_139,Paulo Oliveira,Noite,1,5.3,1.2,4.3
aluno_140,Renata Souza,Noite,4,9.2,9.3,4.3
aluno_141,Paulo Silva,Noite,3,7.0,3.9,4.8
aluno_142,Eduardo Nascimento,Manhã,5,8.4,8.3,7.0
aluno_143,Tatiane Costa,Noite,5,4.0,1.3,9.4
aluno_144,Renata Lima,Manhã,1,0.1,8.8,7.8
aluno_145,Mariana Pereira,Manhã,5,8.7,7.1,0.8
aluno_146,Vinicius Almeida,Noite,2,3.2,6.2,6.4
aluno_147,Bruno Oliveira,Manhã,5,3.2,2.1,1.0
aluno_148,Samuel Costa,Manhã,3,5.5,6.7,7.0
aluno_149,Bruno Rodrigues,Tarde,1,6.4,8.0,2.2
aluno_150,Bruno Souza,Manhã,3,4.5,3.2,1.4
aluno_151,Gabriel Lima,Manhã,5,8.3,8.0,2.6
aluno_152,Daniela Santos,Tarde,2,4.6,5.9,8.8
aluno_153,Bruno Rodrigues,Manhã,4,6.7,9.2,7.7
aluno_154,Carlos Pereira,Tarde,5,0.2,8.0,3.6
aluno_155,Olivia Costa,Manhã,4,7.6,8.7,9.8
aluno_156,Renata Pereira,Noite,4,4.2,8.4,6.1
aluno_157,Ana Souza,Tarde,3,0.8,9.3,6.2
aluno_158,Renata Costa,Tarde,1,9.9,4.4,4.6
aluno_159,Juliana Santos,Manhã,5,1.4,0.7,0.2
aluno_160,Eduardo Almeida,Noite,3,3.3,9.8,3.7
aluno_161,Eduardo Almeida,Manhã,1,8.9,6.0,8.1
aluno_162,Helena Souza,Tarde,4,0.5,0.8,1.5
aluno_163,Eduardo Costa,Noite,1,6.0,2.0,3.4
aluno_164,Fernanda Nascimento,Manhã,4,2.2,3.9,4.4
aluno_165,Samuel Santos,Tarde,5,5.1,5.7,5.6
aluno_166,Daniela Costa,Noite,3,7.2,7.6,2.3
aluno_167,Yasmin Costa,Manhã,5,3.6,4.0,4.7
aluno_168,Olivia Almeida,Tarde,1,0.7,8.0,3.9
aluno_169,Lucas Souza,Tarde,2,0.8,1.3,5.0
aluno_170,Mariana Souza,Manhã,2,4.4,7.3,6.5
aluno_171,Mariana Pereira,Noite,3,5.2,2.3,2.7
aluno_172,Vinicius Santos,Tarde,2,3.8,1.3,1.3
aluno_173,Samuel Silva,Noite,3,9.2,9.1,9.3
aluno_174,Gabriel Silva,Tarde,4,2.3,7.8,0.3
aluno_175,Lucas Oliveira,Noite,5,3.0,4.1,5.0
aluno_176,Paulo Lima,Noite,4,5.9,3.3,9.8
aluno_177,Vinicius Almeida,Noite,4,7.8,8.5,1.2
aluno_178,Helena Pereira,Tarde,3,9.8,5.1,5.8
aluno_179,Vinicius Rodrigues,Noite,1,8.5,9.8,1.9
aluno_180,Juliana Oliveira,Noite,5,6.1,7.1,6.1
aluno_181,Yasmin Pereira,Tarde,3,5.6,3.1,1.3
aluno_182,Juliana Almeida,Manhã,4,1.5,5.4,5.6
aluno_183,Olivia Silva,Tarde,4,1.5,3.7,3.2
aluno_184,Daniela Souza,Tarde,2,1.1,2.4,6.4
aluno_185,Yasmin Almeida,Manhã,2,8.4,8.1,0.8
aluno_186,Mariana Pereira,Tarde,1,4.9,6.1,4.3
aluno_187,Paulo Rodrigues,Tarde,4,4.4,5.5,6.0
aluno_188,Paulo Santos,Manhã,2,9.3,4.2,4.1
aluno_189,Gabriel Silva,Manhã,1,3.5,7.6,7.1
aluno_190,Juliana Pereira,Manhã,1,4.6,4.5,9.4
aluno_191,Eduardo Almeida,Tarde,5,9.0,3.1,1.3
aluno_192,Ana Costa,Tarde,5,5.2,0.1,9.1
aluno_193,Samuel Costa,Noite,3,8.2,4.7,9.1
aluno_194,Gabriel Lima,Tarde,5,9.9,5.6,1.0
aluno_195,Fernanda Nascimento,Tarde,2,4.5,4.1,9.9
aluno_196,Fernanda Nascimento,Manhã,2,8.2,1.2,4.8
aluno_197,Daniela Lima,Tarde,1,8.4,5.0,2.5
aluno_198,Daniela Almeida,Noite,1,0.3,5.8,4.9
aluno_199,Yasmin Almeida,Manhã,1,4.9,3.3,9.3
aluno_200,Helena Lima,Noite,4,0.8,9.4,5.8
aluno_201,Igor Santos,Tarde,2,5.0,1.1,7.6
aluno_202,Nicolas Costa,Manhã,3,0.4,3.8,5.8
aluno_203,Daniela Silva,Manhã,4,1.6,2.1,5.3
aluno_204,Helena Oliveira,Noite,4,5.9,4.9,2.8
aluno_205,Ana Souza,Tarde,2,4.2,2.9,7.2
aluno_206,Renata Nascimento,Tarde,1,3.2,3.9,4.7
aluno_207,Tatiane Almeida,Manhã,3,6.5,7.3,7.7
aluno_208,Vinicius Santos,Tarde,5,7.9,2.5,7.9
aluno_209,Tatiane Almeida,Manhã,5,6.9,9.1,9.7
aluno_210,Mariana Lima,Manhã,5,3.8,7.6,3.8
aluno_211,Yasmin Lima,Tarde,5,7.0,4.7,6.4
aluno_212,Igor Pereira,Manhã,3,5.2,8.9,1.5
aluno_213,Lucas Lima,Manhã,3,7.8,4.8,4.0
aluno_214,Fernanda Costa,Tarde,1,7.8,4.8,6.5
aluno_215,Igor Almeida,Tarde,5,1.7,9.0,9.9
aluno_216,Lucas Rodrigues,Tarde,5,0.4,4.7,3.4
aluno_217,Igor Pereira,Noite,2,1.2,5.4,3.5
aluno_218,Olivia Pereira,Tarde,3,4.7,8.4,0.7
aluno_219,Mariana Lima,Manhã,1,5.5,2.8,4.7
aluno_220,Lucas Nascimento,Manhã,4,2.5,0.4,6.1
aluno_221,Lucas Santos,Tarde,5,3.8,0.2,3.7
aluno_222,Samuel Pereira,Tarde,2,1.0,4.1,4.5
aluno_223,Nicolas Santos,Tarde,1,6.0,4.8,2.8
aluno_224,Gabriel Rodrigues,Noite,3,7.4,5.5,6.3
aluno_225,Yasmin Silva,Tarde,1,1.7,1.3,6.9
aluno_226,Helena Almeida,Noite,1,1.5,5.4,7.3
aluno_227,Tatiane Costa,Manhã,2,9.5,5.9,3.4
aluno_228,Olivia Lima,Noite,3,5.1,2.4,2.4
aluno_229,Ana Silva,Tarde,3,1.0,6.2,3.3
aluno_230,Paulo Souza,Noite,5,1.5,4.3,1.0
aluno_231,Lucas Souza,Manhã,3,9.4,6.9,3.6
aluno_232,Lucas Lima,Noite,3,2.4,0.9,8.8
aluno_233,Vinicius Souza,Tarde,5,4.8,6.9,6.0
aluno_234,Gabriel Rodrigues,Manhã,5,2.9,2.7,1.9
aluno_235,Ana Pereira,Manhã,4,1.2,5.3,9.2
aluno_236,Lucas Rodrigues,Noite,1,7.0,3.4,9.7
aluno_237,Mariana Almeida,Tarde,4,2.5,0.6,7.3
aluno_238,Tatiane Rodrigues,Manhã,4,3.8,6.1,6.6
aluno_239,Mariana Almeida,Manhã,5,4.7,1.3,9.6
aluno_240,Igor Nascimento,Noite,4,2.8,5.5,0.9
aluno_241,Tatiane Souza,Tarde,5,1.4,9.0,7.6
aluno_242,Juliana Souza,Tarde,2,6.0,9.6,7.0
aluno_243,Bruno Rodrigues,Tarde,1,9.5,9.3,8.9
aluno_244,Yasmin Costa,Tarde,5,4.9,3.2,2.1
aluno_245,Tatiane Rodrigues,Noite,4,9.6,9.3,6.9
aluno_246,Fernanda Santos,Manhã,2,3.1,3.6,8.5
aluno_247,Ana Almeida,Tarde,1,3.3,6.1,6.7
aluno_248,Yasmin Nascimento,Noite,2,9.8,1.2,1.6
aluno_249,Carlos Nascimento,Noite,3,4.1,0.4,6.2
aluno_250,Mariana Costa,Noite,3,9.4,2.4,3.4
aluno_251,Ana Nascimento,Manhã,3,0.7,4.7,9.5
aluno_252,Yasmin Costa,Tarde,1,6.0,2.5,1.5
aluno_253,Daniela Pereira,Manhã,2,5.3,6.3,9.2
aluno_254,Olivia Nascimento,Noite,1,1.1,6.8,8.7
aluno_255,Paulo Lima,Manhã,3,3.6,3.8,5.3
aluno_256,Helena Oliveira,Manhã,1,7.1,2.9,9.9
aluno_257,Carlos Nascimento,Manhã,3,9.3,5.4,6.1
aluno_258,Nicolas Lima,Manhã,2,8.1,9.3,8.5
aluno_259,Paulo Lima,Manhã,5,2.7,4.4,7.8
aluno_260,Igor Santos,Tarde,2,7.0,1.9,5.4
aluno_261,Paulo Almeida,Manhã,1,5.4,4.8,4.8
aluno_262,Mariana Costa,Manhã,2,5.7,0.3,2.0
aluno_263,Tatiane Santos,Tarde,3,2.6,2.7,2.1
aluno_264,Paulo Oliveira,Noite,3,1.4,4.3,5.4
aluno_265,Mariana Nascimento,Noite,3,5.9,7.3,0.8
aluno_266,Vinicius Nascimento,Manhã,2,3.2,0.1,2.2
aluno_267,Fernanda Silva,Noite,4,7.0,5.1,6.4
aluno_268,Ana Nascimento,Noite,3,7.5,5.0,2.5
aluno_269,Vinicius Costa,Manhã,5,3.7,1.9,9.3
aluno_270,Lucas Lima,Tarde,2,8.6,8.6,7.5
aluno_271,Paulo Oliveira,Manhã,2,7.5,5.2,7.2
aluno_272,Samuel Pereira,Manhã,2,9.6,9.3,4.3
aluno_273,Gabriel Souza,Manhã,1,6.7,4.1,6.3
aluno_274,Helena Rodrigues,Manhã,5,5.3,4.4,5.9
aluno_275,Vinicius Lima,Manhã,2,4.6,4.9,4.9
aluno_276,Daniela Silva,Manhã,2,0.7,8.8,4.8
aluno_277,Carlos Lima,Manhã,5,5.8,9.3,3.2
aluno_278,Gabriel Nascimento,Noite,2,3.5,1.1,4.6
aluno_279,Helena Pereira,Noite,2,2.6,0.3,5.8
aluno_280,Daniela Rodrigues,Manhã,3,5.4,8.9,4.7
aluno_281,Ana Santos,Noite,2,5.6,0.3,5.6
aluno_282,Juliana Santos,Noite,4,8.3,8.6,4.4
aluno_283,Yasmin Costa,Noite,1,3.1,7.4,7.2
aluno_284,Mariana Lima,Noite,2,8.8,8.4,0.5
aluno_285,Tatiane Santos,Noite,2,7.5,5.4,8.2
aluno_286,Mariana Santos,Noite,1,2.8,8.2,6.1
aluno_287,Igor Santos,Manhã,4,9.8,3.7,7.6
aluno_288,Renata Santos,Noite,5,5.8,5.0,0.3
aluno_289,Lucas Rodrigues,Tarde,4,4.2,0.9,3.0
aluno_290,Nicolas Nascimento,Manhã,3,2.0,4.0,4.5
aluno_291,Renata Almeida,Manhã,5,3.5,3.1,5.0
aluno_292,Lucas Oliveira,Manhã,3,1.5,3.2,9.3
aluno_293,Paulo Lima,Tarde,2,4.4,5.5,3.5
aluno_294,Bruno Pereira,Manhã,1,8.7,8.0,9.9
aluno_295,Gabriel Almeida,Noite,3,2.4,7.0,2.8
aluno_296,Igor Lima,Manhã,4,5.9,10.0,0.3
aluno_297,Vinicius Oliveira,Tarde,3,8.2,6.0,8.1
aluno_298,Carlos Costa,Noite,5,1.6,5.6,1.2
aluno_299,Bruno Almeida,Tarde,3,6.1,1.1,4.7
aluno_300,Lucas Nascimento,Tarde,1,3.9,0.3,9.7
aluno_301,Paulo Lima,Manhã,1,5.9,6.5,5.9
aluno_302,Tatiane Nascimento,Noite,4,5.0,2.2,4.8
aluno_303,Bruno Almeida,Manhã,4,2.1,0.9,5.4
aluno_304,Ana Pereira,Tarde,3,6.6,5.0,9.8
aluno_305,Carlos Lima,Noite,1,0.7,0.0,1.8
aluno_306,Eduardo Souza,Noite,1,9.6,0.3,1.9
aluno_307,Olivia Almeida,Manhã,1,7.7,4.6,3.7
aluno_308,Paulo Lima,Manhã,5,9.2,3.1,10.0
aluno_309,Carlos Silva,Manhã,1,3.9,5.6,4.6
aluno_310,Vinicius Lima,Noite,3,4.4,9.8,1.3
aluno_311,Renata Silva,Tarde,1,1.8,9.3,6.0
aluno_312,Eduardo Santos,Noite,2,7.1,8.9,8.6
aluno_313,Samuel Pereira,Tarde,1,4.5,7.6,7.6
aluno_314,Mariana Silva,Manhã,4,6.8,4.0,4.6
aluno_315,Igor Pereira,Manhã,2,6.8,7.8,4.0
aluno_316,Olivia Pereira,Manhã,4,9.0,0.6,0.5
aluno_317,Bruno Nascimento,Manhã,1,6.0,3.1,9.0
aluno_318,Fernanda Costa,Tarde,1,8.2,1.6,4.4
aluno_319,Paulo Santos,Manhã,2,4.0,1.2,9.4
aluno_320,Carlos Silva,Tarde,1,9.7,4.6,5.5
aluno_321,Daniela Santos,Noite,3,8.5,1.3,8.0
aluno_322,Fernanda Santos,Tarde,3,3.1,5.6,1.7
aluno_323,Helena Rodrigues,Noite,1,5.0,8.8,4.6
aluno_324,Gabriel Pereira,Tarde,2,3.8,3.8,9.5
aluno_325,Nicolas Rodrigues,Tarde,2,9.3,2.6,6.1
aluno_326,Gabriel Lima,Noite,2,1.4,8.9,5.3
aluno_327,Gabriel Nascimento,Manhã,1,0.6,0.5,7.1
aluno_328,Yasmin Pereira,Noite,3,8.7,8.9,1.6
aluno_329,Helena Rodrigues,Manhã,2,4.1,8.4,1.0
aluno_330,Daniela Lima,Noite,3,8.3,0.1,7.8
aluno_331,Daniela Almeida,Manhã,3,2.4,8.1,4.6
aluno_332,Gabriel Costa,Noite,1,4.1,3.3,3.6
aluno_333,Juliana Nascimento,Noite,5,1.7,5.5,5.7
aluno_334,Tatiane Almeida,Tarde,4,6.4,3.9,2.2
aluno_335,Mariana Rodrigues,Noite,5,1.9,6.5,6.1
aluno_336,Eduardo Souza,Tarde,1,2.0,6.6,9.0
aluno_337,Ana Souza,Tarde,1,0.2,2.8,8.6
aluno_338,Vinicius Nascimento,Tarde,3,2.6,9.5,1.2
aluno_339,Samuel Souza,Noite,2,7.0,2.3,0.8
aluno_340,Carlos Santos,Tarde,3,3.0,4.1,9.5
aluno_341,Gabriel Costa,Noite,4,1.5,4.1,2.0
aluno_342,Ana Souza,Noite,5,7.0,7.3,6.6
aluno_343,Mariana Oliveira,Manhã,1,5.4,8.8,9.2
aluno_344,Igor Costa,Tarde,5,1.1,7.4,3.7
aluno_345,Tatiane Lima,Manhã,2,2.8,2.2,6.1
aluno_346,Gabriel Costa,Noite,5,5.8,4.5,9.9
aluno_347,Tatiane Rodrigues,Noite,2,2.9,4.2,4.6
aluno_348,Olivia Lima,Tarde,4,3.2,6.4,2.2
aluno_349,Fernanda Silva,Noite,3,2.3,0.9,7.0
aluno_350,Eduardo Pereira,Noite,1,5.5,1.5,3.4
aluno_351,Igor Lima,Tarde,3,2.6,2.4,6.5
aluno_352,Carlos Souza,Manhã,3,4.9,1.6,4.3
aluno_353,Renata Silva,Manhã,5,0.6,9.2,2.7
aluno_354,Helena Lima,Manhã,3,9.0,1.3,0.5
aluno_355,Mariana Costa,Manhã,4,7.4,3.4,9.2
aluno_356,Paulo Oliveira,Manhã,4,4.3,6.3,4.5
aluno_357,Ana Silva,Tarde,3,3.4,6.0,6.0
aluno_358,Nicolas Pereira,Manhã,2,3.7,7.4,7.3
aluno_359,Ana Almeida,Tarde,4,5.0,8.2,4.7
aluno_360,Eduardo Souza,Manhã,4,5.3,8.4,4.9
aluno_361,Bruno Rodrigues,Noite,3,0.2,0.2,8.6
aluno_362,Bruno Rodrigues,Noite,5,4.1,2.2,9.3
aluno_363,Daniela Costa,Manhã,1,8.2,9.0,1.6
aluno_364,Eduardo Costa,Manhã,2,7.2,8.1,5.2
aluno_365,Paulo Santos,Tarde,2,1.4,1.7,4.5
aluno_366,Bruno Costa,Noite,4,2.6,5.4,0.0
aluno_367,Tatiane Oliveira,Noite,4,1.7,4.0,5.3
aluno_368,Yasmin Costa,Noite,3,5.2,8.6,1.4
aluno_369,Igor Souza,Noite,3,3.1,1.0,8.9
aluno_370,Paulo Lima,Manhã,5,4.6,8.3,2.7
aluno_371,Juliana Lima,Tarde,2,4.3,3.5,2.8
aluno_372,Tatiane Santos,Noite,4,3.1,3.3,9.3
aluno_373,Bruno Oliveira,Noite,3,3.1,7.5,6.8
aluno_374,Helena Nascimento,Noite,2,0.4,9.8,5.5
aluno_375,Ana Santos,Manhã,1,9.4,6.3,7.3
aluno_376,Daniela Silva,Noite,1,0.7,7.2,7.0
aluno_377,Gabriel Lima,Noite,3,2.9,5.8,2.8
aluno_378,Paulo Oliveira,Manhã,2,7.2,1.8,6.7
aluno_379,Renata Almeida,Noite,2,6.7,9.4,8.0
aluno_380,Fernanda Nascimento,Tarde,2,8.5,6.8,8.3
aluno_381,Helena Silva,Noite,3,5.8,2.4,10.0
aluno_382,Olivia Lima,Manhã,1,5.3,1.0,2.7
aluno_383,Bruno Lima,Noite,1,5.5,1.4,6.9
aluno_384,Daniela Pereira,Noite,2,6.9,4.5,1.2
aluno_385,Olivia Pereira,Manhã,5,5.7,8.0,1.7
aluno_386,Samuel Oliveira,Manhã,2,4.2,5.1,9.0
aluno_387,Carlos Nascimento,Tarde,3,8.0,6.5,3.5
aluno_388,Bruno Almeida,Tarde,4,3.0,6.3,1.8
aluno_389,Nicolas Lima,Manhã,3,8.1,9.8,8.2
aluno_390,Igor Almeida,Noite,5,9.1,0.7,1.0
aluno_391,Tatiane Silva,Noite,2,4.1,8.4,8.0
aluno_392,Renata Lima,Noite,4,7.8,0.1,8.7
aluno_393,Vinicius Pereira,Noite,5,4.2,9.0,9.2
aluno_394,Paulo Silva,Noite,1,1.7,3.2,8.3
aluno_395,Fernanda Silva,Manhã,2,6.6,4.7,5.7
aluno_396,Vinicius Santos,Tarde,3,6.4,4.6,0.2
aluno_397,Igor Lima,Tarde,4,4.3,5.1,4.3
aluno_398,Daniela Silva,Manhã,1,7.4,5.8,5.4
aluno_399,Ana Silva,Noite,1,3.1,5.4,9.2
aluno_400,Olivia Pereira,Tarde,3,7.5,6.0,0.7
aluno_401,Samuel Pereira,Tarde,2,1.3,6.4,8.3
aluno_402,Nicolas Pereira,Tarde,1,3.0,8.5,3.5
aluno_403,Igor Silva,Manhã,5,6.0,2.3,5.1
aluno_404,Gabriel Nascimento,Noite,3,2.1,4.9,1.9
aluno_405,Carlos Santos,Tarde,4,7.1,1.4,4.2
aluno_406,Juliana Nascimento,Manhã,4,2.0,5.9,6.7
aluno_407,Olivia Almeida,Manhã,3,0.9,0.3,2.3
aluno_408,Fernanda Costa,Noite,1,2.1,7.8,2.9
aluno_409,Olivia Santos,Tarde,2,4.6,5.8,7.7
aluno_410,Olivia Souza,Noite,3,7.1,8.6,8.9
aluno_411,Daniela Nascimento,Manhã,1,8.3,2.6,8.5
aluno_412,Juliana Lima,Tarde,3,8.7,4.5,7.5
aluno_413,Vinicius Oliveira,Tarde,2,4.0,9.5,4.2
aluno_414,Mariana Lima,Noite,4,1.4,9.0,9.2
